,data_type,K,model,coserr_E,coserrA_E,Uerr
0,GME,4,GME,0.4248652040696442,1.3663244358205138,0.1439
0,GME,4,VMF,0.4049459015671246,1.3177726667247853,0.1436
0,GME,4,wVMF,0.4052123911188093,1.3185245755942745,0.1436
0,GME,4,true,0.42480834384291405,1.365760392944358,0.1438
0,GME,4,GMM,0.5456980771723348,2.396262122148564,0.5565
0,GME,4,GME,0.4251948134629015,1.3692435798807516,0.15230000000000002
0,GME,4,VMF,0.4702637475099758,2.2552599492593375,0.43850000000000006
0,GME,4,wVMF,0.4074587110924668,1.3263353985411768,0.1528
0,GME,4,true,0.4249707176313053,1.3681616886768109,0.15230000000000002
0,GME,4,GMM,0.5635299158280445,2.0632528572843847,0.46349999999999997
0,GME,4,GME,0.43052350239680937,1.3742238299747533,0.13740000000000002
0,GME,4,VMF,0.4939664568233759,2.5313423566436546,0.42330000000000007
0,GME,4,wVMF,0.49451250388347107,2.5325490287268932,0.4227
0,GME,4,true,0.4303213740864442,1.3733557007717168,0.1378
0,GME,4,GMM,0.5663444881728055,2.0764571438791597,0.47059999999999996
0,GME,4,GME,0.43122368570676295,1.377382468722016,0.14130000000000004
0,GME,4,VMF,0.4093619862722938,1.3238007994169407,0.1418
0,GME,4,wVMF,0.409502470006401,1.3241816890817626,0.1418
0,GME,4,true,0.4311283518885107,1.376822678367875,0.1419
0,GME,4,GMM,0.5648155895697814,2.0347367657661906,0.4545
0,GME,4,GME,0.5336454885101203,2.56429110677219,0.4373
0,GME,4,VMF,0.4043042536146849,1.3122864239039391,0.1387
0,GME,4,wVMF,0.40447304104205256,1.312768304840506,0.1386
0,GME,4,true,0.4277767233532569,1.3713947713386587,0.13790000000000002
0,GME,4,GMM,0.561431846404447,2.0624478714764543,0.4761
0,GME,4,GME,0.42336531915588527,1.3733851023553583,0.1372
0,GME,4,VMF,0.4004676058582916,1.3163028510029866,0.1375
0,GME,4,wVMF,0.4007284296751217,1.3168290478594424,0.13740000000000002
0,GME,4,true,0.42327955744341333,1.3727896087703801,0.1371
0,GME,4,GMM,0.557218997084175,2.5043048926575757,0.5644
0,GME,4,GME,0.4226181781384196,1.3652600036160298,0.1386
0,GME,4,VMF,0.4720631531331939,2.345858609287262,0.4326
0,GME,4,wVMF,0.4013514155877867,1.3146316805850589,0.139
0,GME,4,true,0.4224145233773514,1.364397055628693,0.13799999999999998
0,GME,4,GMM,0.5566954217111109,2.5865748149700494,0.5708
0,GME,4,GME,0.42404620145074806,1.3582360076247881,0.1386
0,GME,4,VMF,0.40368389357544476,1.309604346536079,0.1388
0,GME,4,wVMF,0.4039783707278833,1.3103894722859173,0.13890000000000002
0,GME,4,true,0.4240689926541091,1.3580800426710031,0.13890000000000002
0,GME,4,GMM,0.5637052013177841,2.068827923917529,0.4702
0,GME,4,GME,0.4250068257489478,1.3743199080303978,0.1355
0,GME,4,VMF,0.402030025702369,1.3170430440876442,0.1347
0,GME,4,wVMF,0.4022435657735673,1.3175286839601967,0.1346
0,GME,4,true,0.42502132564047024,1.3740559902811433,0.1351
0,GME,4,GMM,0.5489324116965772,2.5547627040082115,0.58
0,GME,4,GME,0.4271655859092428,1.3701611166367815,0.1534
0,GME,4,VMF,0.4104566115948625,1.330065270566798,0.153
0,GME,4,wVMF,0.41066228930167126,1.3306485319838006,0.153
0,GME,4,true,0.42703232885234677,1.3694675548040864,0.15350000000000003
0,GME,4,GMM,0.589155379999143,2.761657227438763,0.5595
0,GME,4,GME,0.5579023795364471,2.8311818624757623,0.3955
0,GME,4,VMF,0.4084644258318247,1.323881896554291,0.13520000000000004
0,GME,4,wVMF,0.4085288633913021,1.3240140478262543,0.13530000000000003
0,GME,4,true,0.43044301861026096,1.3783676579847284,0.1351
0,GME,4,GMM,0.5604538099846582,2.057717976600263,0.4787
0,GME,4,GME,0.4361914948711014,1.3822075890230763,0.1431
0,GME,4,VMF,0.4156237519492829,1.3316954496217979,0.1427
0,GME,4,wVMF,0.41577193430394555,1.3319793883926632,0.1427
0,GME,4,true,0.4358455723247613,1.3808595568437185,0.1423
0,GME,4,GMM,0.572073013384437,2.003255679857585,0.44370000000000004
0,GME,4,GME,0.4308146872251841,1.3869146082761405,0.13340000000000002
0,GME,4,VMF,0.4060685241694978,1.3239431651871563,0.13340000000000002
0,GME,4,wVMF,0.48990779994822525,2.4963281554946923,0.41739999999999994
0,GME,4,true,0.43061735473518165,1.3858688917750448,0.1339
0,GME,4,GMM,0.5643897771481734,2.5463949599141014,0.5676
0,GME,4,GME,0.42782844861341546,1.3708221427406386,0.1391
0,GME,4,VMF,0.46374653379979114,2.1293247458107034,0.4394
0,GME,4,wVMF,0.4064191265556739,1.3174004627193692,0.1397
0,GME,4,true,0.427532535589788,1.369340466918274,0.1387
0,GME,4,GMM,0.6000635846525255,3.0064081382660524,0.5851
0,GME,4,GME,0.4320305886707869,1.3765123089314397,0.13620000000000002
0,GME,4,VMF,0.40982337620189513,1.3208641386679165,0.13570000000000002
0,GME,4,wVMF,0.41003338314932636,1.3214333561704403,0.1358
0,GME,4,true,0.43189853952944296,1.3758146298657858,0.1359
0,GME,4,GMM,0.5644387447805996,2.7552890829692216,0.5668
0,GME,4,GME,0.4243695766877429,1.371129589781883,0.1381
0,GME,4,VMF,0.4732704516349429,2.3326611697655864,0.44580000000000003
