model	rho	rep	v_recovery	parcel	kappa
MixVMF (K = 11)	0.0	12	0.9950115084648132	10	15.394499778747559
MixVMF (K = 11)	0.0	13	0.9960048794746399	0	15.476216316223145
MixVMF (K = 11)	0.0	13	0.9960048794746399	1	15.476216316223145
MixVMF (K = 11)	0.0	13	0.9960048794746399	2	15.476216316223145
MixVMF (K = 11)	0.0	13	0.9960048794746399	3	15.476216316223145
MixVMF (K = 11)	0.0	13	0.9960048794746399	4	15.476216316223145
MixVMF (K = 11)	0.0	13	0.9960048794746399	5	15.476216316223145
MixVMF (K = 11)	0.0	13	0.9960048794746399	6	15.476216316223145
MixVMF (K = 11)	0.0	13	0.9960048794746399	7	15.476216316223145
MixVMF (K = 11)	0.0	13	0.9960048794746399	8	15.476216316223145
MixVMF (K = 11)	0.0	13	0.9960048794746399	9	15.476216316223145
MixVMF (K = 11)	0.0	13	0.9960048794746399	10	15.476216316223145
MixVMF (K = 11)	0.0	14	0.9950747489929199	0	15.224691390991211
MixVMF (K = 11)	0.0	14	0.9950747489929199	1	15.224691390991211
MixVMF (K = 11)	0.0	14	0.9950747489929199	2	15.224691390991211
MixVMF (K = 11)	0.0	14	0.9950747489929199	3	15.224691390991211
MixVMF (K = 11)	0.0	14	0.9950747489929199	4	15.224691390991211
MixVMF (K = 11)	0.0	14	0.9950747489929199	5	15.224691390991211
MixVMF (K = 11)	0.0	14	0.9950747489929199	6	15.224691390991211
MixVMF (K = 11)	0.0	14	0.9950747489929199	7	15.224691390991211
MixVMF (K = 11)	0.0	14	0.9950747489929199	8	15.224691390991211
MixVMF (K = 11)	0.0	14	0.9950747489929199	9	15.224691390991211
MixVMF (K = 11)	0.0	14	0.9950747489929199	10	15.224691390991211
MixVMF (K = 11)	0.0	15	0.9955847859382629	0	15.355896949768066
MixVMF (K = 11)	0.0	15	0.9955847859382629	1	15.355896949768066
MixVMF (K = 11)	0.0	15	0.9955847859382629	2	15.355896949768066
MixVMF (K = 11)	0.0	15	0.9955847859382629	3	15.355896949768066
MixVMF (K = 11)	0.0	15	0.9955847859382629	4	15.355896949768066
MixVMF (K = 11)	0.0	15	0.9955847859382629	5	15.355896949768066
MixVMF (K = 11)	0.0	15	0.9955847859382629	6	15.355896949768066
MixVMF (K = 11)	0.0	15	0.9955847859382629	7	15.355896949768066
MixVMF (K = 11)	0.0	15	0.9955847859382629	8	15.355896949768066
MixVMF (K = 11)	0.0	15	0.9955847859382629	9	15.355896949768066
MixVMF (K = 11)	0.0	15	0.9955847859382629	10	15.355896949768066
MixVMF (K = 11)	0.0	16	0.9960158467292786	0	15.421690940856934
MixVMF (K = 11)	0.0	16	0.9960158467292786	1	15.421690940856934
MixVMF (K = 11)	0.0	16	0.9960158467292786	2	15.421690940856934
MixVMF (K = 11)	0.0	16	0.9960158467292786	3	15.421690940856934
MixVMF (K = 11)	0.0	16	0.9960158467292786	4	15.421690940856934
MixVMF (K = 11)	0.0	16	0.9960158467292786	5	15.421690940856934
MixVMF (K = 11)	0.0	16	0.9960158467292786	6	15.421690940856934
MixVMF (K = 11)	0.0	16	0.9960158467292786	7	15.421690940856934
MixVMF (K = 11)	0.0	16	0.9960158467292786	8	15.421690940856934
MixVMF (K = 11)	0.0	16	0.9960158467292786	9	15.421690940856934
MixVMF (K = 11)	0.0	16	0.9960158467292786	10	15.421690940856934
MixVMF (K = 11)	0.0	17	0.9952131509780884	0	15.235861778259277
MixVMF (K = 11)	0.0	17	0.9952131509780884	1	15.235861778259277
MixVMF (K = 11)	0.0	17	0.9952131509780884	2	15.235861778259277
MixVMF (K = 11)	0.0	17	0.9952131509780884	3	15.235861778259277
MixVMF (K = 11)	0.0	17	0.9952131509780884	4	15.235861778259277
